time,stateEstimate.x,stateEstimate.y,stateEstimate.z,ctrltarget.x,
10935.8,0.493433,0.144553,0.0268602,0,
10935.8,0.493397,0.144555,0.0269487,0,
10935.8,0.493321,0.144568,0.0271254,0,
10935.8,0.493237,0.144595,0.0273028,0,
10935.8,0.493145,0.144633,0.0274855,0,
10935.8,0.493096,0.144654,0.0275794,0,
10935.9,0.49299,0.144699,0.0277694,0,
10935.9,0.492881,0.144752,0.0279597,0,
10935.9,0.492764,0.144813,0.0281549,0,
10935.9,0.492704,0.144847,0.0282536,0,
10935.9,0.492578,0.144921,0.0284549,0,
10935.9,0.492446,0.145005,0.0286612,0,
10936,0.492351,0.144751,0.0290524,0,
10936,0.492241,0.144781,0.0292739,0,
10936,0.49211,0.144802,0.0294915,0,
10936,0.492038,0.144833,0.0296149,0,
10936,0.491883,0.144921,0.0298593,0,
10936.1,0.491687,0.144953,0.0301117,0,
10936.1,0.491469,0.144875,0.0303635,0,
10936.1,0.491363,0.144798,0.0304806,0,
10936.1,0.491197,0.144761,0.0307128,0,
10936.1,0.49099,0.144853,0.0309659,0,
10936.1,0.490895,0.144887,0.0311005,0,
10936.2,0.490824,0.144718,0.0312913,0,
10936.2,0.490629,0.144736,0.0315331,0,
10936.2,0.490515,0.144753,0.0317228,0,
10936.2,0.490489,0.144714,0.0317643,0,
10936.2,0.490287,0.144779,0.032006,0,
10936.3,0.490126,0.144705,0.0322229,0,
10936.3,0.489929,0.144775,0.0324531,0,
10936.3,0.489819,0.144786,0.0325973,0,
10936.3,0.489821,0.144631,0.0326265,0,
10936.3,0.489713,0.144632,0.0327719,0,
10936.3,0.489604,0.144705,0.0329478,0,
10936.4,0.489491,0.144708,0.0330978,0,
10936.4,0.489353,0.14475,0.0332622,0,
10936.4,0.489264,0.144651,0.0333866,0,
10936.4,0.489308,0.144579,0.0334245,0,
10936.4,0.489251,0.144692,0.0334679,0,
10936.4,0.48922,0.144707,0.0335281,0,
10936.5,0.489102,0.144646,0.0336817,0,
10936.5,0.488983,0.144639,0.033844,0,
10936.5,0.488846,0.144695,0.0339926,0,
10936.5,0.493319,0.142329,0.0249029,0,
10936.5,0.493903,0.143638,0.0243106,0,
10936.5,0.493943,0.144192,0.0244739,0,
10936.6,0.493989,0.144396,0.0248063,0,
10936.6,0.494046,0.144428,0.0251213,0,
10936.6,0.494087,0.144564,0.0253848,0,
10936.6,0.494058,0.144549,0.0254405,0,
10936.6,0.494134,0.144461,0.0257267,0,
10936.7,0.494146,0.144638,0.025932,0,
10936.7,0.494171,0.144554,0.0261459,0,
10936.7,0.494181,0.144584,0.0263423,0,
10936.7,0.494171,0.14463,0.0264316,0,
10936.7,0.494113,0.144713,0.0265995,0,
10936.7,0.493652,0.1437,0.0248946,0,
10936.8,0.493578,0.143644,0.0248654,0,
10936.8,0.493636,0.144202,0.0250144,0,
10936.8,0.493678,0.144409,0.0253223,0,
10936.8,0.493738,0.14439,0.0256667,0,
10936.8,0.493842,0.144432,0.0259457,0,
10936.8,0.493835,0.14461,0.0261747,0,
10936.9,0.493813,0.144556,0.0265197,0,
10936.9,0.493809,0.144518,0.0270055,0,
10936.9,0.493731,0.144648,0.0271633,0,
10937,0.493654,0.144636,0.0273302,0,
10937,0.493603,0.144672,0.0274045,0,
10937,0.493505,0.144774,0.0275624,0,
10937,0.493382,0.144804,0.0277237,0,
10937,0.493222,0.144715,0.0279874,0,
10937.1,0.493098,0.144792,0.0281573,0,
10937.1,0.492971,0.144796,0.0283192,0,
10937.1,0.492826,0.144779,0.0284811,0,
10937.1,0.492762,0.144859,0.0285546,0,
10937.1,0.492648,0.144815,0.0287498,0,
10937.1,0.492531,0.144775,0.0289463,0,
10937.2,0.492349,0.14472,0.0292375,0,
10937.2,0.492222,0.144694,0.0294405,0,
10937.2,0.492092,0.144673,0.0296503,0,
10937.2,0.492026,0.144665,0.0297547,0,
10937.2,0.491887,0.144651,0.029968,0,
10937.3,0.491737,0.144645,0.0301831,0,
10937.3,0.491576,0.144649,0.0304085,0,
10937.3,0.491496,0.144653,0.0305155,0,
10937.3,0.491331,0.144662,0.0307307,0,
10937.3,0.491071,0.144694,0.03105,0,
10937.4,0.490773,0.14456,0.0312258,0,
10937.4,0.490573,0.144594,0.0314449,0,
10937.4,0.49037,0.144637,0.0316732,0,
10937.4,0.490168,0.144688,0.03191,0,
10937.4,0.490067,0.144717,0.032031,0,
10937.5,0.489858,0.144778,0.0322792,0,
10937.5,0.489645,0.144847,0.0325343,0,
10937.5,0.489536,0.144884,0.0326654,0,
10937.5,0.489572,0.144765,0.0328541,0,
10937.5,0.489462,0.144848,0.0330676,0,
10937.5,0.489309,0.144898,0.033281,0,
10937.6,0.489298,0.144818,0.0333918,0,
10937.6,0.489242,0.14483,0.0334555,0,
10937.6,0.489201,0.144839,0.0335363,0,
10937.6,0.489037,0.144865,0.0337512,0,
10937.6,0.48903,0.144853,0.0337918,0,
10937.7,0.489038,0.144768,0.0338288,0,
10937.7,0.488992,0.144794,0.0338847,0,
10937.7,0.489099,0.144621,0.0338053,0,
10937.7,0.488976,0.144644,0.0339577,0,
10937.7,0.48896,0.144644,0.0340287,0,
10937.7,0.488865,0.14466,0.034163,0,
10937.8,0.488604,0.144779,0.0344923,0,
10937.8,0.488731,0.144697,0.0343525,0,
10937.8,0.488818,0.14475,0.03427,0,
10937.8,0.488685,0.144817,0.0344021,0,
10937.8,0.488685,0.144794,0.0343596,0,
10937.9,0.488734,0.144744,0.0342552,0,
10937.9,0.488817,0.144657,0.0341799,0,
10937.9,0.493511,0.143599,0.0249915,0,
10937.9,0.493408,0.143554,0.0249527,0,
10937.9,0.493439,0.144037,0.025203,0,
10938,0.493467,0.144217,0.0255687,0,
10938,0.493501,0.144367,0.0259014,0,
10938,0.493441,0.14435,0.0259452,0,
10938,0.493496,0.144559,0.0262676,0,
10938,0.493406,0.14455,0.0264001,0,
10938,0.493519,0.144565,0.0267468,0,
10938.1,0.493488,0.144558,0.026835,0,
10938.1,0.493542,0.144544,0.0271189,0,
10938.1,0.493519,0.144628,0.0273571,0,
10938.1,0.493484,0.144741,0.027465,0,
10938.1,0.493303,0.144705,0.0279074,0,
